date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,total_tests,new_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index,population,excess_mortality_cumulative,excess_mortality,year,week,avg_USA
2020-01-05,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,-3.09,-3.09,2020,1,
2020-01-06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,2,62.21894207246997
2020-01-07,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,2,62.21894207246997
2020-01-08,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,2,62.21894207246997
2020-01-09,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,2,62.21894207246997
2020-01-10,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,2,62.21894207246997
2020-01-11,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,2,62.21894207246997
2020-01-12,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,-3.54,-3.98,2020,2,62.21894207246997
2020-01-13,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,3,58.7672022488502
2020-01-14,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,3,58.7672022488502
2020-01-15,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,3,58.7672022488502
2020-01-16,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,3,58.7672022488502
2020-01-17,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,3,58.7672022488502
2020-01-18,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,3,58.7672022488502
2020-01-19,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,-3.84,-4.44,2020,3,58.7672022488502
2020-01-20,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,4,
2020-01-21,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,4,
2020-01-22,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,4,
2020-01-23,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,4,
2020-01-24,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,4,
2020-01-25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,4,
2020-01-26,7.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,-3.64,-3.02,2020,4,
2020-01-27,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,5,53.434410109550186
2020-01-28,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,5,53.434410109550186
2020-01-29,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,5,53.434410109550186
2020-01-30,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,5,53.434410109550186
2020-01-31,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,5,53.434410109550186
2020-02-01,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,35.608,38.3,54225.446,1.2,151.089,10.79,19.1,24.6,,78.86,0.926,338289856,,,2020,5,53.434410109550186
